epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2765.48,1.26256,1.1688,1.34699,0.7315,0.75128,0.81362,0.50018,1.21121,0.97335,1.23354,0.000847076,0.000847076,0.000847076
92,2796.96,1.25026,1.26087,1.35397,0.7184,0.69747,0.75484,0.44788,1.29389,1.36554,1.3031,0.000843851,0.000843851,0.000843851
93,2825.11,1.32729,1.24289,1.42507,0.71535,0.73867,0.78996,0.46576,1.28648,0.94731,1.30232,0.000840598,0.000840598,0.000840598
94,2855.68,1.27073,1.20295,1.40033,0.66992,0.66363,0.71309,0.41528,1.35795,1.17675,1.35719,0.000837319,0.000837319,0.000837319
95,2885.88,1.33964,1.20229,1.41734,0.72918,0.68947,0.76474,0.45137,1.29872,1.02789,1.30354,0.000834012,0.000834012,0.000834012
96,2914.13,1.2888,1.14461,1.4061,0.69658,0.71748,0.7617,0.46612,1.26091,0.99781,1.26599,0.00083068,0.00083068,0.00083068
97,2941.96,1.22354,1.11908,1.32587,0.75374,0.73897,0.80589,0.49837,1.22065,0.91333,1.23964,0.000827321,0.000827321,0.000827321
98,2969.76,1.37119,1.20796,1.45878,0.74868,0.75196,0.81003,0.49775,1.24272,0.9174,1.25082,0.000823936,0.000823936,0.000823936
99,2999.84,1.29078,1.14988,1.3974,0.74186,0.73179,0.79613,0.49048,1.24336,0.92683,1.26248,0.000820525,0.000820525,0.000820525
100,3027.85,1.34606,1.15753,1.4136,0.73502,0.72264,0.78664,0.47893,1.24795,0.93722,1.26155,0.000817089,0.000817089,0.000817089
101,3056.04,1.37454,1.20401,1.46633,0.74266,0.70654,0.7891,0.48045,1.26564,1.06355,1.26711,0.000813627,0.000813627,0.000813627
102,3085.26,1.33331,1.17055,1.42983,0.77597,0.79623,0.84935,0.53566,1.19456,0.83955,1.20902,0.000810141,0.000810141,0.000810141
103,3116.95,1.21106,1.10139,1.31686,0.79199,0.79487,0.86047,0.52823,1.24397,0.84152,1.22876,0.000806631,0.000806631,0.000806631
104,3147.18,1.29582,1.1167,1.38632,0.77999,0.77524,0.84805,0.52318,1.22804,0.88129,1.2386,0.000803096,0.000803096,0.000803096
105,3177.45,1.29472,1.10746,1.38975,0.74126,0.76602,0.81538,0.48666,1.28763,0.95177,1.28394,0.000799536,0.000799536,0.000799536
106,3204.76,1.29083,1.19077,1.42416,0.75039,0.76569,0.81565,0.50077,1.23865,0.88538,1.25954,0.000795954,0.000795954,0.000795954
107,3233.6,1.26195,1.13306,1.37322,0.7245,0.72453,0.77832,0.48227,1.24584,0.95218,1.26106,0.000792347,0.000792347,0.000792347
108,3262.29,1.29355,1.12376,1.39392,0.72591,0.70392,0.75493,0.45839,1.28255,0.99421,1.30773,0.000788718,0.000788718,0.000788718
109,3290.85,1.21466,1.16085,1.33152,0.77866,0.75143,0.81706,0.50517,1.20047,0.88275,1.2469,0.000785066,0.000785066,0.000785066
110,3319.38,1.24309,1.11672,1.3701,0.78701,0.77011,0.83483,0.51526,1.22574,0.84286,1.22875,0.000781391,0.000781391,0.000781391
111,3398.88,1.21293,1.11069,1.31712,0.73226,0.73538,0.78551,0.472,1.30802,0.93067,1.28201,0.000777694,0.000777694,0.000777694
112,3427.21,1.26702,1.14917,1.38,0.70404,0.74149,0.78165,0.46545,1.30474,0.94706,1.30649,0.000773975,0.000773975,0.000773975
113,3454.99,1.26167,1.13205,1.36497,0.77556,0.77556,0.84308,0.52814,1.20212,0.8352,1.23029,0.000770234,0.000770234,0.000770234
114,3482.62,1.26157,1.11008,1.37689,0.79265,0.80433,0.86339,0.54353,1.18333,0.81318,1.21713,0.000766472,0.000766472,0.000766472
115,3510.49,1.25295,1.09241,1.36022,0.76824,0.78639,0.8366,0.51907,1.20763,0.84703,1.21668,0.000762689,0.000762689,0.000762689
116,3542.42,1.28288,1.24425,1.39163,0.76632,0.71642,0.79596,0.49698,1.21427,1.14258,1.24241,0.000758885,0.000758885,0.000758885
117,3570.39,1.25919,1.12445,1.36928,0.73077,0.78191,0.8147,0.50409,1.22541,0.88893,1.23803,0.000755061,0.000755061,0.000755061
118,3598.66,1.20126,1.10845,1.31818,0.78498,0.79611,0.85469,0.54172,1.17079,0.82165,1.19696,0.000751216,0.000751216,0.000751216
119,3627.78,1.18688,1.12264,1.30879,0.7246,0.77038,0.80028,0.48381,1.25527,0.93709,1.27366,0.000747352,0.000747352,0.000747352
120,3656.89,1.28698,1.21917,1.41169,0.7807,0.78187,0.84913,0.53753,1.18057,0.82115,1.21075,0.000743468,0.000743468,0.000743468
121,3688.29,1.26114,1.07797,1.37512,0.74049,0.76095,0.82598,0.50831,1.21463,1.018,1.24762,0.000739565,0.000739565,0.000739565
122,3715.99,1.29373,1.17859,1.40948,0.8096,0.80839,0.86424,0.54124,1.18744,0.81698,1.20972,0.000735643,0.000735643,0.000735643
123,3743.77,1.25611,1.10541,1.38869,0.76423,0.74621,0.81216,0.51038,1.21301,0.87624,1.25004,0.000731702,0.000731702,0.000731702
124,3771.31,1.2839,1.07756,1.39161,0.78288,0.77786,0.83833,0.53418,1.16678,0.8315,1.20666,0.000727744,0.000727744,0.000727744
125,3802.18,1.27898,1.12567,1.38066,0.75412,0.77675,0.81808,0.49633,1.22635,0.92117,1.22836,0.000723767,0.000723767,0.000723767
126,3830.16,1.23512,1.03246,1.34002,0.78926,0.81216,0.87123,0.55464,1.17639,0.78096,1.20064,0.000719772,0.000719772,0.000719772
127,3859.85,1.23803,1.05435,1.35535,0.78705,0.81765,0.86512,0.55766,1.14465,0.82468,1.18829,0.000715761,0.000715761,0.000715761
128,3888.22,1.25487,1.04696,1.3619,0.82702,0.77746,0.86449,0.54767,1.14621,0.8059,1.19174,0.000711732,0.000711732,0.000711732
129,3916.28,1.23017,1.198,1.40287,0.79208,0.80957,0.86167,0.56091,1.12098,0.79896,1.17966,0.000707687,0.000707687,0.000707687
130,3945.88,1.16833,1.24711,1.30606,0.79354,0.79267,0.8529,0.55491,1.14122,0.79572,1.19103,0.000703625,0.000703625,0.000703625
131,3975.41,1.30833,1.07629,1.41548,0.84676,0.81128,0.8797,0.55441,1.18994,0.75165,1.21194,0.000699547,0.000699547,0.000699547
132,4003.13,1.23434,1.04815,1.3596,0.75401,0.78877,0.83312,0.52513,1.18461,0.84142,1.22695,0.000695454,0.000695454,0.000695454
133,4030.61,1.24759,1.12154,1.35643,0.84214,0.80266,0.88956,0.5899,1.08909,0.75055,1.15799,0.000691345,0.000691345,0.000691345
134,4058.54,1.26562,1.04464,1.36545,0.79983,0.79338,0.86458,0.55892,1.16156,0.78591,1.2124,0.000687222,0.000687222,0.000687222
135,4086.17,1.25109,1.13076,1.37852,0.78554,0.79063,0.85327,0.54811,1.15337,0.79975,1.20442,0.000683083,0.000683083,0.000683083
136,4113.95,1.34926,1.13342,1.40571,0.81974,0.80877,0.8746,0.57092,1.11006,0.77201,1.16909,0.000678931,0.000678931,0.000678931
137,4143.06,1.24327,1.06766,1.36635,0.81374,0.81119,0.87267,0.56938,1.13507,0.75795,1.1837,0.000674764,0.000674764,0.000674764
138,4172.09,1.22503,1.03534,1.36048,0.80803,0.78989,0.84932,0.5455,1.15898,0.82512,1.18905,0.000670583,0.000670583,0.000670583
139,4201.08,1.26131,1.14016,1.3718,0.80331,0.80388,0.8723,0.56458,1.12641,0.79601,1.18044,0.00066639,0.00066639,0.00066639
140,4228.99,1.2078,1.00103,1.36811,0.82221,0.83691,0.89631,0.59449,1.10136,0.72269,1.15161,0.000662183,0.000662183,0.000662183
141,4256.55,1.2251,1.06153,1.35474,0.83417,0.84614,0.90409,0.60952,1.06249,0.70781,1.1295,0.000657963,0.000657963,0.000657963
142,4287.08,1.20367,1.0227,1.33722,0.82982,0.80593,0.87392,0.58158,1.09433,0.75074,1.15507,0.000653732,0.000653732,0.000653732
143,4314.34,1.15349,1.11983,1.27667,0.78779,0.81364,0.86992,0.5679,1.14653,0.7748,1.18979,0.000649488,0.000649488,0.000649488
144,4343.34,1.23004,1.03483,1.33753,0.81608,0.78145,0.85665,0.55159,1.15515,0.78675,1.19705,0.000645233,0.000645233,0.000645233
145,4370.97,1.16437,1.25843,1.28685,0.82954,0.83523,0.89907,0.59778,1.08677,0.70947,1.15485,0.000640966,0.000640966,0.000640966
146,4399.2,1.24252,1.01449,1.34702,0.83372,0.81703,0.87899,0.57207,1.12652,0.75422,1.17969,0.000636688,0.000636688,0.000636688
147,4427.09,1.26615,1.10081,1.40677,0.82697,0.80809,0.88123,0.58269,1.09778,0.73545,1.16326,0.0006324,0.0006324,0.0006324
148,4455.53,1.18376,1.01123,1.32078,0.7916,0.80661,0.86204,0.55981,1.14449,0.79653,1.19865,0.000628101,0.000628101,0.000628101
149,4486.93,1.2063,1.05389,1.3422,0.80725,0.78055,0.86048,0.5617,1.11882,0.86665,1.17632,0.000623793,0.000623793,0.000623793
150,4515.46,1.19041,1.05034,1.33445,0.82772,0.83865,0.89698,0.5902,1.12481,0.73783,1.15473,0.000619475,0.000619475,0.000619475
151,4543,1.21088,1.03349,1.31729,0.81273,0.84791,0.89951,0.60347,1.07599,0.70088,1.15458,0.000615148,0.000615148,0.000615148
152,4572.51,1.20315,1.01128,1.32472,0.83912,0.84068,0.9048,0.61644,1.04605,0.69384,1.12129,0.000610812,0.000610812,0.000610812
153,4600.52,1.17489,0.98255,1.31475,0.83082,0.82472,0.88973,0.58597,1.0878,0.71743,1.14599,0.000606467,0.000606467,0.000606467
154,4628.42,1.16967,1.01271,1.31042,0.83177,0.84364,0.90211,0.6068,1.06712,0.69045,1.13954,0.000602114,0.000602114,0.000602114
155,4656.28,1.14699,1.14964,1.2719,0.81041,0.83293,0.88485,0.59075,1.09242,0.73204,1.16027,0.000597754,0.000597754,0.000597754
156,4684.17,1.22563,1.05548,1.35059,0.81837,0.82911,0.88553,0.59026,1.07918,0.70784,1.15615,0.000593386,0.000593386,0.000593386
157,4712.74,1.12405,1.01555,1.26322,0.8248,0.84357,0.89583,0.6047,1.06526,0.68682,1.14608,0.00058901,0.00058901,0.00058901
158,4741.05,1.1887,0.9659,1.31113,0.85456,0.82483,0.89747,0.59683,1.10326,0.70045,1.16548,0.000584628,0.000584628,0.000584628
159,4769.13,1.14575,1.09987,1.31788,0.85423,0.82581,0.90051,0.60008,1.07894,0.70043,1.1517,0.00058024,0.00058024,0.00058024
160,4797.42,1.17498,0.99952,1.32359,0.87245,0.85888,0.9232,0.63615,1.01804,0.64351,1.11311,0.000575846,0.000575846,0.000575846
161,4825.36,1.18952,0.97496,1.30754,0.85536,0.85876,0.92141,0.63346,1.018,0.66026,1.11619,0.000571445,0.000571445,0.000571445
162,4853.24,1.20625,1.06133,1.34868,0.86342,0.84075,0.9096,0.63044,1.02395,0.66378,1.12541,0.00056704,0.00056704,0.00056704
163,4884.59,1.18401,1.03096,1.33414,0.84775,0.83549,0.89475,0.60102,1.07827,0.72973,1.14911,0.000562629,0.000562629,0.000562629
164,4913.36,1.15696,0.96177,1.296,0.8584,0.83378,0.91041,0.61795,1.05142,0.67596,1.13877,0.000558214,0.000558214,0.000558214
165,4943.24,1.25275,1.17768,1.34145,0.85037,0.84941,0.90477,0.61004,1.06453,0.69211,1.13613,0.000553795,0.000553795,0.000553795
166,4972.55,1.16941,1.006,1.32465,0.86368,0.83804,0.90296,0.60981,1.06978,0.68646,1.15541,0.000549371,0.000549371,0.000549371
167,5002.21,1.09424,0.95448,1.24362,0.87611,0.85179,0.918,0.62715,1.03536,0.67306,1.12274,0.000544945,0.000544945,0.000544945
168,5030.44,1.16928,0.96154,1.32389,0.88453,0.87767,0.93607,0.65566,1.0031,0.61952,1.09802,0.000540514,0.000540514,0.000540514
169,5058.48,1.20371,1.01801,1.35449,0.88963,0.83863,0.9201,0.62805,1.04713,0.6586,1.12609,0.000536081,0.000536081,0.000536081
170,5087.24,1.1718,0.94449,1.31569,0.8745,0.86392,0.92278,0.63145,1.04682,0.66544,1.12636,0.000531646,0.000531646,0.000531646
171,5115.61,1.1929,0.98325,1.31322,0.87664,0.85606,0.9251,0.63279,1.04369,0.64872,1.10837,0.000527208,0.000527208,0.000527208
172,5143.79,1.10574,0.96503,1.24442,0.87475,0.86136,0.92754,0.64318,1.01982,0.65108,1.10638,0.000522769,0.000522769,0.000522769
173,5172.29,1.18654,0.95094,1.31595,0.90142,0.8799,0.94332,0.66259,0.98692,0.59745,1.08899,0.000518328,0.000518328,0.000518328
